dataset_id,dataset,provider,version,role,source_url,doi_or_reference,licence_note,release_action,notes
boundary_grdc,GRDC Major River Basins / local Volta derivative,GRDC,2nd revised ed. 2020,Study geometry upstream provenance,https://mrb.grdc.bafg.de/,,Provider terms; retain citation,Deposit exact local derivative; source package re-downloadable,Full intermediate GIS edit history not recoverable
chirps,CHIRPS,Climate Hazards Center,CHIRPS v2,Historical rainfall reference / feature baseline,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,"Funk et al. 2015, doi:10.1038/sdata.2015.66",Provider terms,Do not switch product generation during reproduction,Study period uses 1985–2014
era5_land,ERA5-Land,ECMWF/Copernicus,ERA5-Land,Independent precipitation/temperature reference,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,doi:10.24381/cds.e2161bac,Copernicus/ECMWF terms,Re-download or retain local basin summaries,
cru_ts,CRU TS,Climatic Research Unit,v4.09,Auxiliary historical precipitation reference for archived screening,https://crudata.uea.ac.uk/cru/data/hrg/,doi:10.1038/s41597-020-0453-3,CRU terms,Re-download exact v4.09 if source-level screening is rerun,Not a final flood-model predictor source
nex_gddp_cmip6,NEX-GDDP-CMIP6,NASA,v2.0 / archived local Core-7 files,Future climate forcing,https://doi.org/10.7917/OFSG3345,doi:10.7917/OFSG3345,NASA/provider terms,Re-download large daily files; do not place in normal Git history,Core-7 + SSP2-4.5/SSP5-8.5
gfd,Global Flood Database,Cloud to Street / Google Earth Engine,MODIS Events V1,Historical flood-occurrence labels and observation support,https://developers.google.com/earth-engine/datasets/catalog/GLOBAL_FLOOD_DB_MODIS_EVENTS_V1,doi:10.1038/s41586-021-03695-w,CC BY-NC 4.0 on EE catalog asset,Derived support exports may be deposited with attribution/noncommercial terms,Seven positive event years
jrc_gsw,JRC Global Surface Water,European Commission JRC,v1.4,Permanent-water exclusion,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_GlobalSurfaceWater,doi:10.1038/nature20584,Copernicus/JRC terms,Re-download or retain mask-derived outputs,
merit_hydro,MERIT Hydro,Yamazaki et al.,2019 release,"HAND, elevation, upstream area; slope derived",http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro/,doi:10.1029/2019WR024873,Provider terms,Large tiles need not be committed to Git,
modis_lulc,MCD12Q1,NASA LP DAAC,v061,Historical/2015 LULC feature domain,https://doi.org/10.5067/MODIS/MCD12Q1.061,doi:10.5067/MODIS/MCD12Q1.061,NASA EOSDIS data use/citation guidance,Re-download annual source or retain project mosaics,IGBP-based broad fractions
hou_lulc,Global IGBP LULC projection under eight SSP-RCPs,Hou et al. / Figshare,2022 dataset,Future LULC change signal and Direct-Hou sensitivity,https://figshare.com/articles/dataset/Global_IGBP_LULC_projection_dataset_under_eight_SSPs-RCPs/20088368,doi:10.6084/m9.figshare.20088368,CC BY 4.0,Prefer provider download for multi-GB raw archive; deposit derived cell fractions,2015–2100 at 5-year intervals
worldpop,WorldPop 2020,"WorldPop, University of Southampton",2020,Fixed-current population exposure,https://www.worldpop.org/,doi:10.5258/SOTON/WP00684,Product-specific WorldPop terms; open products commonly CC BY 4.0,Deposit derived cell table if licence permits; retain exact source filenames,Not future population
